,qualifications
10,"• Python 기반 머신러닝 / 딥러닝 모델 개발 가능한 분
• SQL / Phython 기반 데이터 모델링 / 엔지니어링 가능한 분
• Cloud 환경 (AWS, MS AZURE 등) 활용이 원활한 분
• 논리적 사고 및 분석력 보유한 분
• Full-time 근무 가능한 분
• 지방 및 해외 출장 가능한 분"
11,"• 컴퓨터 공학 석사 학위, 관련 기술 분야 학위 또는 그에 준하는 실무 경험
• Python을 중심으로 한 탄탄한 프로그래밍 실력
• PyTorch 등 최신 머신러닝 프레임워크 활용 경험
• 머신러닝 연구 및 개발 전반에 대한 경험
• 소프트웨어 설계/아키텍처 역량을 갖춘 엔지니어링 실력
• 머신러닝 이론에 대한 깊은 이해와 이를 활용한 문제 해결 능력
• 뛰어난 구두 및 서면 커뮤니케이션 능력"
12,"• 컴퓨터 공학 석사 학위, 관련 기술 분야 학위 또는 그에 준하는 실무 경험
• Python을 중심으로 한 탄탄한 프로그래밍 실력
• PyTorch 등 최신 머신러닝 프레임워크 활용 경험
• 머신러닝 연구 및 개발 전반에 대한 경험
• 소프트웨어 설계/아키텍처 역량을 갖춘 엔지니어링 실력
• 머신러닝 이론에 대한 깊은 이해와 이를 활용한 문제 해결 능력
• 뛰어난 구두 및 서면 커뮤니케이션 능력"
13,"관련 분야 전공자 및 경력자
관련 알고리듬 및 라이브러리 전문가
석사 이상 학위 소지자 (전문연구요원)"
14,"• AI 관련 분야 석사 학위 이상
• Pytorch, Tensorflow등 주요 Deep Learning framework 활용 능력
• Linux/Shell, docker/Container 활용 능력
• 형상관리 툴 활용 능력
• 의사 소통 능력"
15,"• 석사학위 이상 (수학/물리/화학/컴공)
• 대량의 데이터 수집 및 분석 능력
• 인공지능에 대한 높은 이해력
• 자격요건을 미충족할 경우 훌륭한 동기와 실력"
16,"• 뛰어난 프로그래밍 스킬
• Python, PyTorch/TensorFlow
• 컴퓨터 비전 딥러닝 모델 개발 경험(classification, object detection & segmentation, pose estimation)
• 최신(state-of-the-art) 딥러닝 연구 topics and methods 익숙/관심
• 논리적인 사고"
17,"• 프롬프트 설계 및 AI 활용 경험
• NLP 및 머신러닝 기본 지식
• 문제 해결 능력 및 창의적 사고"
18,"• 딥러닝 기술에 대한 학습/추론에 대한 깊은 이해
• Python/PyTorch에 대한 높은 숙련도
• 최신 음성 합성 모델에 대한 깊은 이해, 개발 경험, 전문성
• 최신 논문에 대한 Reproduction 능력
• TensorRT를 활용한 모델 고속화 구현 능력
• ONNX를 활용한 C++ 기반 딥러닝 서빙 엔진 개발 경험"
19,"[필수 경험과 역량]

강화학습 이론에 대한 깊은 이해와 강화학습 Framework 경험이 있으신 분 (예: Stable Baselines3, RLlib, Acme 등)
생성형 AI 모델 (VAE, Diffusion models, NVIDIA Cosmos) 개발 경험이 있으신 분
Computer Vision: CNNs, Vision Transformers(ViTs), image tokenizer 경험이 있으신 분
시뮬레이션 환경(NVIDIA Omniverse, Isaac Sim, Unity) 개발 경험이 있으신 분
Python, PyTorch 경험이 있으신 분"
20,"• AI 관련 학부/대학원 전공하고 계시거나 이수하신 분
• 딥러닝에 대한 기본적인 지식을 갖고 계신 분
• Python, PyTorch 등의 AI 개발 도구 활용 능력이 있는 분
• NLP 모델 학습 경험이 있으신 분"
21,• Verilog HDL 설계 경험
22,"• C++/C# Solution 개발 경험
• 석사 이상 (2년 차 이상)
• 지원 자격 : 컴퓨터 공학
• 필수 언어 : C++, Python
• 이수 과목 : 선형대수학, 수치해석"
23,"• 학력 : 초대졸이상
• 경력 : 0 ~ 7년
• 신입지원 가능
• 해외 여행에 결격 사유가 없는자
• 고용 형태 : 정규직(수습 3개월)
• 근무 지역 : 경기 화성시
• 근무 요일/시간 : 주5일(월~금) | 09:00 ~ 18:00"
24,"• 최신 NLP (특히 LLM) 모델을 사용하거나 공부한 경험이 있으신 분
• NLP Production 개발 경험이 있으신 분
• LLM Model을 serving하거나 finetuning 해보신 분
• 적절한 답변 유도를 위해 Prompt engineering을 수행해보신 분
• 최신 논문 읽기 및 이해 능력 가능하신 분.
• 독립적인 연구 및 실험 설계 가능하신 분.
• 강력한 문제 해결 능력과 비판적 사고 능력있으신 분."
25,"• 항공/여행 산업에 대한 이해 및 관심
• AI 모델의 실서비스 적용 및 운영 경험
• 추천 시스템, 예측 모델 또는 자연어 처리(NLP) 프로젝트 경험"
26,"ㆍ경력 : 무관 (신입도 지원 가능)
ㆍ직무역량
3가지 이상의 모델링 방법을 사용해보신 분
대용량 데이터처리 경험이 있으신 분
시계열 데이터 처리경험이 있으신 분
연도별 AI성능에 대한 목표수준을 정하고, 달성 가능한 분
관련 전공 석사학위 이상 보유자
소규모 TFT, CFT를 직접 구성하여 리드해보신 분"
27,"• 딥러닝에 대한 기초 지식이 매우 뛰어나신 분
• Stable diffusion 에 대한 기본 소양 및 관련 논문 또는 프로젝트 경험하신 분
• 석/박사 또는 이에 상응 하신 자격을 갖추신 분
• DL Framework (Pytorch, Tensorflow, Keras) 중 1가지 이상을 자유롭게 활용 가능한 분
• 긍정적이고 도전적이며, 필요한 일을 정의하여 주도적으로 일하는 사람 (가장 중요한 필수요건)
• 전 세계 에이클로젯 유저들에게 그들의 옷장 데이터, 최신 AI 모델/LLM을 활용하여 새로운 가치를 제공하고 싶은 분
• 큰 기업과 스타트업의 차이를 알고 있고, 스타트업 마인드를 보유하고 있는 분
• AI 에 대한 기본 개념을 잘 이해하고 있고, 관련 프로젝트를 다수 수행해본 분
• ""연구""적으로 의미가 깊은 것 보다는, 실제 서비스에 필요하고 사용자들의 편의성을 높이는 기술 개발에 대한 높은 관심 (연구 목적의 업무는 조금도 하지 않습니다)
• Notion/Slack을 통한 커뮤니케이션, Github를 통한 버전관리에 익숙하신 분"
28,"• 딥러닝에 대한 기초 지식이 매우 뛰어나신 분
• Stable diffusion 에 대한 기본 소양 및 관련 논문 또는 프로젝트 경험하신 분
• 석/박사 또는 이에 상응 하신 자격을 갖추신 분
• DL Framework (Pytorch, Tensorflow, Keras) 중 1가지 이상을 자유롭게 활용 가능한 분
• 긍정적이고 도전적이며, 필요한 일을 정의하여 주도적으로 일하는 사람 (가장 중요한 필수요건)
• 전 세계 에이클로젯 유저들에게 그들의 옷장 데이터, 최신 AI 모델/LLM을 활용하여 새로운 가치를 제공하고 싶은 분
• 큰 기업과 스타트업의 차이를 알고 있고, 스타트업 마인드를 보유하고 있는 분
• AI 에 대한 기본 개념을 잘 이해하고 있고, 관련 프로젝트를 다수 수행해본 분
• ""연구""적으로 의미가 깊은 것 보다는, 실제 서비스에 필요하고 사용자들의 편의성을 높이는 기술 개발에 대한 높은 관심 (연구 목적의 업무는 조금도 하지 않습니다)
• Notion/Slack을 통한 커뮤니케이션, Github를 통한 버전관리에 익숙하신 분"
29,"• Python 및 ML Framework (Tensorflow, PyTorch, Lightning, etc.) 숙련도
• ML Lifecycle 및 MLOps에 대한 이해
• 뛰어난 문제 해결 능력 및 협업 능력"
30,"ㆍ컴퓨터공학 전공 혹은 그에 준하는 전공 및 지식을 보유하신 분
ㆍimage processing & Computer vision 기초지식 보유하신 분
ㆍ개발 협업툴 (Github, Jira 등)의 경험이 있으신 분
ㆍComputer vision 관련 / AI 관련 프로젝트 수행 경험 ( 연구 설계 / 구현 / 검증 수행 경험 )"
31,"• 주도적으로 문제를 해결하는 능력이 뛰어나신 분
• 자유롭게 토론하고 의견을 제시하며, 일이 되도록 결과를 만들어 내는 분
• 프로그래밍이 능숙하신 분
• 컴퓨터공학 또는 관련학과 석사 학위 이상 소지하신 분

* 필수제출서류/자유양식
1. 상세 경력이 포함된 이력서
2. 자기소개서 (대학 이전은 기술하지 말 것)
3. 개발 포트폴리오"
32,"[자격 요건]
• 컴퓨터공학 또는 관련 분야 학사 이상 학위를 보유하신 분
• TensorFlow, PyTorch 등 주요 Deep Learning 프레임워크 사용 경험이 있는 분
• 데이터 분석 및 시각화 도구(Python, R 등) 사용 경험이 있는 분
• 객체 탐지, 문서 인식, 자연어 처리 등 관련 프로젝트 수행 경험이 있는 분
• 최신 논문에 대한 이해, 구현 및 테스트 가능하신 분
• 다양한 데이터 소스를 다루고 이를 통합하여 분석할 수 있는 분
• 형상관리 툴 활용 능력이 있는 분
• 협업 및 원활한 의사소통 능력이 있는 분"
33,"• 학부 4학년 이상
• 해외 여행에 결격 사유가 없으신 분
• Python 프로젝트 개발 경험이 있으신 분
• 딥러닝 프레임워크 (Pytorch, Tensorflow 등) 사용 경험이 있으신 분
• 병역특례 지원 가능
- 산업기능요원, 전문연구요원 지원 가능하며, 이력서에 별도 표기하여 제출 부탁드립니다. (Ex: 산업기능요원 보충역 편입, 전문연구요원 현역 전직 등)
- (Ex: 산업기능요원 현역, 전문연구요원 편입 등)"
34,"[공통]
• 학부 4학년 이상
• Python 을 활용한 프로젝트 수행 경험이 있으신 분
• 딥러닝 프레임워크 (Pytorch, Keras, Tensorflow 등) 을 활용한 프로젝트 수행 경험이 있으신 분"
35,"• 학부 4학년 이상
• 해외 여행에 결격 사유가 없으신 분
• C/C++을 활용한 프로젝트 개발 경험이 있으신 분
• (컴파일러 엔지니어) 함수형 언어 (Scala, Haskell, F# 등) 사용 경험이 있으신 분
• (컴파일러 엔지니어) 딥러닝 프레임워크 (Pytorch, tensorflow 등) 사용 경험이 있으신 분
• 병역특례 지원 가능
- 산업기능요원, 전문연구요원 지원 가능하며, 이력서에 별도 표기하여 제출 부탁드립니다.
- (Ex: 산업기능요원 현역, 전문연구요원 편입 등)"
36,"Preferences
급속 성장하는 startup 초기 멤버로 참여할 기회를 갈망하시는 분
급속 성장하고자 하는 의지가 크고, 꾸준한 열정으로 성장하실 분
docenty 제품, 사업에 꾸준히 관심과 열정을 가지실 분. LLM, chatbot, SaaS
해외 시장에서 global tech 기업들과 경쟁하는 것을 즐기실 분


일반적인 전형 과정
1. 서류 심사
2. casual video call (회사, 제품, 전형 설명)
3. on-site interview
a. (전공 과목 또는 연구 주제 있는) in-depth 기술 주제 하나 정해서 문답 토론
b. tech position 실무 면접의 경우, live coding, system architecture design (google 등 미국 big-tech interview와 일부 유사)"
37,"• Python 등 프로그래밍 언어 경험
• Tensorflow, PyTorch 등 Machine Learning Framework 활용 경험
• LLM Post-training 및 관련 python 라이브러리 사용 경험 (transformers, peft, accelerate 등)
• 다양한 협업 환경에서 일할 수 있는 능력
• 훌륭한 의사 소통 능력"
38,"• Python 등 프로그래밍 언어 경험
• Tensorflow, PyTorch 등 Machine Learning Framework 활용 경험
• CV, NLP 등 Document AI 관련 모델 개발 경험
• 다양한 협업 환경에서 일할 수 있는 능력
• 훌륭한 의사 소통 능력"
39,"• 경력 : 무관
• Machine Learning, Deep Learning, 생성모델(diffusion, GAN, VAE 등)에 대한 기본적인 지식을 보유하신 분
• Diffusion, StyleGAN 등 생성형 모델을 다루어본 경험이 있는 분
• 다양한 이미지 데이터를 다루어본 경험이 있는 분
• Python , Tensorflow, Keras, PyTorch, Huggingface
• 오픈소스의 코드 레벨 디버깅 및 커스터마이징 경험이 있는 분"
40,"• 경력: 경력 무관
• Python/C++을 사용한 컴퓨터 비전 알고리즘 개발 경험자
• Pytorch와 같은 프레임워크를 사용한 다양한 2D/3D Detection 모델 학습 및 개발 경험자"
41,"[Education]
• 학사 이상 (컴퓨터 공학, 전산학, AI 관련 분야 우대)

[Experiences]
• 이미지 생성형 AI 및 Stable Diffusion 모델 활용 경험
• Python 및 딥러닝 프레임워크(TensorFlow, PyTorch) 사용 능력
• AI 모델 파인튜닝 및 최적화 경험
• 최신 AI 기술 트렌드를 빠르게 학습하고 적용할 수 있는 역량

[Skill/ Knowledge]
• 최신 기술을 빠르게 습득하고 적용하는 능력
• AI 모델 개발 및 성능 최적화 역량
• LLM을 활용한 다양한 프로젝트 경험
• 문제 해결 능력과 원활한 커뮤니케이션 능력"
42,"• AI / 머신러닝 관련 논문을 검색 및 이해하고 코드에 적용 가능하신 분
• 수학 / 통계 / 논리적 사고에 익숙하신 분
• 능숙한 Python language 활용 능력
• tensorflow / pytorch 중 한가지 이상을 능숙하게 활용 가능"
43,"- 딥러닝 프레임워크(PyTorch, TensorFlow 등) 활용 능력
- 프로그래밍 언어(Python, C/C++ 등) 활용 능력
- 수리적, 논리적 분석을 통한 문제 해결 능력"
44,"- Math, CS, EE 학위 소유자, 또는 이와 비슷한 경력을 가지신 분
- 프로그래밍 언어(Python, C/C++ 등) 활용이 능숙하신 분
- 자기 동기부여 및 배우고자 하는 의지가 강하신 분
- 팀원 간의 소통 및 협업이 매끄럽고 능숙하신 분
- 최종 성적증명서 제출 필수 (석,박사의 경우 학부 성적표도 첨부)"
45,"• AI 및 머신러닝 분야에서의 학사 이상 학위 또는 이에 준하는 경험
• 전문 지식 및 실무를 토대로 한 머신러닝 및 딥러닝 알고리즘 개발 능력
• 데이터 분석 및 처리에 대한 전문 지식
• NLP, 컴퓨터 비전, 음성 인식 등의 다양한 AI 기술에 대한 경험
• 대규모 언어모델 및 대화 시스템, 코드 데이터셋에 대한 경험
• 해외 논문 독해 및 비즈니스 레벨 영어 회화 능력"
46,"• 인공지능 또는 관련 분야 학사 학위 이상
• 머신러닝, 딥러닝 프레임워크(TensorFlow, PyTorch 등) 사용 경험
• Python, C++ 등 프로그래밍 언어 능숙자
• 대규모 데이터셋을 다룰 수 있는 데이터 분석 및 처리 능력
• 문제 해결을 위한 창의적 사고와 적극적인 태도
• 팀과 협력하며 프로젝트를 성공적으로 이끌어갈 수 있는 커뮤니케이션 능력"
47,"• Python, C/C++ 언어 중 1개 이상에 능숙한 자
• Pytorch/Tensorflow/Caffe 중 2개 이상의 프레임워크에 능숙한 자
• ROS/Matlab 중 1개 이상 사용이 가능한 자
• 의미론적 객체 분할 / 이상행동탐지 등 과 같은 딥러닝 프로젝트에 참여해 본 자
• 3차원 공간데이터 랜더링 / 모델 개발이 가능한 자
• 관련 석사학위를 보유한 자 혹은 2년 이상의 실무경험"
48,"**아래의 모든 자격요건들을 갖추신 분**

- 컴퓨터 공학, 전기전자 공학 등 관련 학과 4년제 대학을 졸업한 분
- SLAM, Localization, Mapping 관련 지식을 보유하고 프로젝트를 경험한 분
- C++ 프로그래밍 경험이 있는 분"
49,"• PyTorch를 활용한 딥러닝 모델 구현 경험이 있고, 최신 딥러닝 논문을 빠르게 이해하고 정확히 구현할 수 있는 분
• AI 관련 분야 전반, 머신러닝, 딥러닝 이론에 대한 전반적인 이해가 있는 분"
50,"• Python을 이용한 개발이 능숙하신 분
• Tensorflow / Pytorch 등 딥러닝 프레임워크에 익숙하신 분
• 오픈소스 AI 모델들을 활용해서 서비스를 제작해 본 경험이 있으신 분
• Docker를 이용한 Container 기술에 익숙하신 분
• 2년 이상의 Machine Learning을 활용한 서비스 개발 경험 또는 관련 석사 학위 이상이 있으신 분
• 새로운 연구 혹은 개발 방향성을 제시할 수 있는 능력을 갖추신 분"
51,"• 이공계 학사 졸업 또는 졸업 예정이신 분
• C++, C#, Java, Rust 중 1개 이상 코딩 경험이 있으신 분
• Git 버전 관리 시스템 사용 경험이 있으신 분"
52,"[About You]
In order to set you up for success as an AI Research Scientist at VUNO BRAIN Team, we look for the following skills and experience.

• MSc. in Computer Science, Biomedical Engineering, Brain and Cognitive Sciences, Bioinformatics or relevant experience.
• Demonstrated ability and potential to design, implement, and apply AI / ML models for the analysis of various neurological biomarkers.
• Proficiency in Python and machine learning frameworks (e.g. PyTorch)
• Business-level proficiency in Korean (both verbal and written)
• Fluency in English (both verbal and written)
• A real passion for medical AI !"
53,"• Python, Pytorch경험자
• 머신러닝, 딥러닝 관련 연구/개발 경험"
54,"- 관련 분야의 학사 학위 이상을 보유하신 분 또는 연구/개발 경험이 있는 학생
- Python 등 능숙한 프로그래밍 스킬
- PyTorch, ONNX 등 ML Framework에 익숙하신 분
- Computer Vision, NLP 등 AI를 이용한 응용분야에 관심이 많으신 분
- On-device AI에 관심이 많으신 분"
55,"• Deep Learning framework (PyTorch, TensorFlow 2.0+, TensorRT 등) 에 대한 구현 경험
• 최신 Deep Learning 논문을 이해하고 구현할 수 있는 역량
• Linux 기반 C/C++, Python Programming 경험
• 관련 분야 학위자 (컴퓨터공학, 전자공학, 의공학 등)
• 해외여행에 결격사유가 없는자"
56,"• 성별, 나이 무관
• 인공지능 분야 대학원 전공 또는 인공지능 분야 경력자
• 엔지니어, 리더, C-level 모두 채용 고려"
57,"- Pytorch, Python, C++/C# 개발 경력자
- LLVM, MLIR 프레임워크 연구/개발 유경험자
- AI 최적화 유경험자
- AI 최적화, 경량화 유경험자 (CUDA, Onnx runtime, TensorRT, TF Lite, Embedded Sytem AI 구현)"
58,"• 전공: 공학계열 (컴퓨터공학 또는 수학 전공 등) 우대

• 학력: 대학교 관련 학부 졸업 또는 졸업 예정

• 경력: AI 공부 또는 연구를 하신 분 (Vision AI 관련 연구 우대)

• Python 언어에 능숙하고, CNN, Visual Transformer(ViT) 구조의 모델을 만드는데 익숙한 분

• 영어 논문 및 기술자료를 읽고 최신 기술 Trend를 follow-up 할 수 있는 분"
59,"• AI 관련 분야 전공 또는 이에 준하는 실무 경험자
• 생성형 AI 기술의 원리와 최신 드랜드에 대한 깊은 이해와 열정이 있으신 분
• Stable Diffusion에 대한 이해와 활용 경험이 있으신 분"
60,"[자격요건] 
• Python, TensorFlow, PyTorch 등 AI 관련 프로그래밍 언어 및 프레임워크에 능숙합니다.
• 기계 학습, 딥러닝 알고리즘에 대한 깊은 이해를 가지고 있습니다.
• 데이터 분석 및 처리 경험이 풍부한 자입니다.
• 팀워크 및 커뮤니케이션 능력이 뛰어난 자입니다.
• [전공 필수 X] 컴퓨터 공학, 전산학 등 관련 분야 학사 이상 학위 소지자를 우대 사항으로 보나, 다른 자유로운 방식으로도 실력이나 잠재력을 입증하는 것이 더 중요합니다."
61,"• 관련 분야 석사 이상의 학위
• LLM 알고리즘/데이터 연구/개발 경험
• LLM Post-training 경험
• 다양한 협업 환경에서 일할 수 있는 능력
• 훌륭한 의사 소통 능력"
62,"• 본인의 잠재력을 믿고 성장을 원하시는 분
• Object Detection, Sementic Segmentation 등 인공지능의 기본적인 이해와 활용이 가능하신 분
• 기본적인 Python을 이해하고 프로젝트에 적용 가능하신 분"
63,"**아래의 모든 자격요건들을 갖추신 분**

• 컴퓨터 공학, 전기전자 공학 등 관련 학과 4년제 대학을 졸업한 분
• SLAM, Localization, Mapping 관련 지식을 보유하고 프로젝트를 경험한 분
• C++ 프로그래밍 경험이 있는 분"
64,"• Python을 중심으로 한 탄탄한 프로그래밍 실력
• PyTorch 등 최신 머신러닝 프레임워크 활용 경험
• 머신러닝 연구 및 개발 전반에 대한 경험
• 소프트웨어 설계/아키텍처 역량을 갖춘 엔지니어링 실력
• 머신러닝 이론에 대한 깊은 이해와 이를 활용한 문제 해결 능력 
• 뛰어난 구두 및 서면 커뮤니케이션 능력
• 컴퓨터 공학 석사 학위, 관련 기술 분야 학위 또는 그에 준하는 실무 경험"
65,"• 관련 분야 석사 이상의 학위
• AI 문제를 정의하고 해결하는 능력
• 기초 머신러닝 알고리즘에 대한 깊은 이해
• Python, C++ 등의 언어를 활용한 강력한 프로그래밍 능력 및 Linux/Shell 활용 능력
• CV, NLP, LLM 등 관심 AI 도메인의 최신 알고리즘에 대한 이해
• 주요 기계 학습 프레임워크에 대한 깊은 이해(예: TensorFlow, PyTorch)
• 다양한 협업 환경에서 일할 수 있는 능력
• 훌륭한 의사 소통 능력"
66,"• 관련분야 석사 학위 이상
• AI 관련 전공/프로젝트 포트폴리오 제출
• Tensorflow / CNN, DNN, RNN 에 대한 높은 이해
• 데이터 정제, outlier 제거 등 전처리를 위한 도구 개발 경험
• Python / C++ / MATLAB 숙련자"
67,"• 컴퓨터 공학 석사 학위, 관련 기술 분야 학위 또는 그에 준하는 실무 경험
• Python을 중심으로 한 탄탄한 프로그래밍 실력
• PyTorch 등 최신 머신러닝 프레임워크 활용 경험
• 머신러닝 연구 및 개발 전반에 대한 경험
• 소프트웨어 설계/아키텍처 역량을 갖춘 엔지니어링 실력
• 머신러닝 이론에 대한 깊은 이해와 이를 활용한 문제 해결 능력 
• 뛰어난 구두 및 서면 커뮤니케이션 능력"
68,"ㆍ컴퓨터/ 공학 계열 4년제 대학 졸업 이상 (예정자 가능)
ㆍC/ C++ 이용 가능 필수"
69,"• AI 관련 교육 콘텐츠 제작 경험
• AI 관련 교육 프로그램 운영, 혹은 참여 경험
• AI 기술 트렌드를 빠르게 습득하여 교육 콘텐츠로 변환할 수 있는 역량
• PyTorch 등 주요 기계 학습 프레임워크에 대한 경험
• 다양한 협업 환경에서 효과적인 커뮤니케이션을 수행할 수 있는 역량"
70,• 경력 :0~1년 신입 우대
72,"ㆍ학력 : 학력무관
ㆍ경력직 : 위 개발 분야 중 어느 한 분야에서 충분한 개발 경험을 갖고 계시는 분
ㆍ신입직 : 위 개발 분야에 새롭게 도전하여 최고의 자율주행 DL SW 개발자가 되고 싶은 열정있는 엔지니어 분"
73,"• LLM Post-training 경험
• 대규모 모델 학습을 위한 프레임워크 사용 경험 (e.g. DeepSpeed)
• LLM 기반 제품 개발 경험
• 다양한 협업 환경에서 일할 수 있는 능력
• 훌륭한 의사 소통 능력"
74,"• 학부 4학년 이상
• 해외 여행에 결격 사유가 없으신 분
• Python 프로젝트 개발 경험이 있으신 분
• 딥러닝 프레임워크(Pytorch, Tensorflow 등) 사용 경험이 있으신 분
• 병역특례 지원 가능
- 산업기능요원, 전문연구요원 지원 가능하며, 이력서에 별도 표기하여 제출 부탁드립니다. (Ex: 산업기능요원 보충역 편입, 전문연구요원 현역 전직 등)"
75,"• C/C++, python을 활용한 프로젝트 개발 경험이 있으신 분
• 동시성 프로그래밍 경험이 있으신 분
• 다양한 device/OS(Android, iOS, linux, ARM64, x86_64 등)를 활용하고 코딩하는데 있어 거리낌이 없으신 분
• 병역특례 지원 가능
- 산업기능요원, 전문연구요원 지원 가능하며, 이력서에 별도 표기하여 제출 부탁드립니다. (Ex: 산업기능요원 보충역 편입, 전문연구요원 현역 전직 등)"
76,"• 나이/성별 : 무관
• 신입 : AI 관련 학과 대학원 졸 이상
• 경력 : 프로그래밍 관련 학과 대학교 졸업 및 AI 경력 1년 이상(대학원 AI 전공자의 경우 AI 경력 2년 인정)"
77,"• Python 등 프로그래밍 언어 경험
• Tensorflow, PyTorch 등 Machine Learning Framework 활용 경험
• CV, NLP 등 Document AI 관련 모델 개발 경험
• 다양한 협업 환경에서 일할 수 있는 능력
• 훌륭한 의사 소통 능력"
78,"• Python 등 프로그래밍 언어 경험
• Tensorflow, PyTorch 등 Machine Learning Framework 활용 경험
• LLM Post-training 및 관련 python 라이브러리 사용 경험 (transformers, peft, accelerate 등)
• 다양한 협업 환경에서 일할 수 있는 능력
• 훌륭한 의사 소통 능력"
79,"• 전자, 컴퓨터공학 학사 이상
• C/C++ 능숙
• 비디오 압축 혹은 영상 처리에 관심이 있으신 분"
80,"• 관련 분야 석사 학위
• AI 문제를 정의하고 해결하는 능력
• 기초 머신러닝 알고리즘에 대한 깊은 이해
• Python, C++ 등의 언어를 활용한 강력한 프로그래밍 능력 및 Linux/Shell 활용 능력
• CV, NLP, LLM 등 관심 AI 도메인의 최신 알고리즘에 대한 이해
• 주요 기계 학습 프레임워크에 대한 깊은 이해(예: TensorFlow, PyTorch)
• 다양한 협업 환경에서 일할 수 있는 능력
• 훌륭한 의사 소통 능력"
81,• 관련 분야 학사 학위 혹은 2년 이상 경력 보유
82,• 관련 분야 석사 학위 혹은 2년 이상 경력 보유
83,"• Computer Vision, Image Processing, ML/DL, 의공학 전공 관련 석사/박사 또는 실무자
• Python 및 ML/DL 프레임워크 유경험자 (예: Pytorch, Tensorflow, Keras 등)
• 데이터 수집, 주석, 전처리 및 관리를 포함한 AI 모델 개발 전문가"
84,• 관련 분야 학사 학위 혹은 2년 이상 경력 보유
85,"• 전자, 컴퓨터공학 학사 이상
• C, Python 프로그래밍 능력
• 비디오 압축 혹은 영상 처리에 관심이 있으신 분

자격 요건 중에 한 두가지 부족하지만, 노력으로 충분히 캐치업할 수 있는 자신이 있다면 망설이지 말고 지원해주세요!"
